,deal_metric,display_name
11472869,229.085535633,LeEco Le Max 2 (128GB)
8597734,202.867357515,Lenovo K80 (64GB)
7294741,169.656279767,Sony Xperia Z3+ Dual (32GB)
10106328,160.461226875,Xiaomi Mi Max Prime (128GB)
11128327,158.118127293,Huawei Honor 8 Pro (6GB/128GB)
12039411,153.926282003,Asus Zenfone Zoom (128GB)
6601918,142.535270153,Caterpillar B25
8984512,142.405712532,LG G5 Dual (32GB)
8413492,131.396680886,LG G5 (32GB)
7541851,128.754721496,Motorola Moto X Style (32GB)
6068934,124.660958423,Samsung Galaxy Note 4 Duos (16GB)
10882677,124.045736716,Ulefone Gemini (32GB)
10183442,123.798346211,Huawei Honor 6X (4GB/64GB)
5663559,122.167303433,Blackberry Passport
11504059,119.741119531,Apple iPhone SE (128GB)
10112367,115.685722542,LG G5 SE (32GB)
8379645,113.208509037,Asus ZenFone 2 (Z3560/4GB/16GB/Dual) (ZE551ML)
7264929,113.09040937,LG G4 Dual (32GB)
6756290,112.709624906,Huawei Ascend P8 Dual (16GB)
10642424,110.571259701,Sony Xperia X Dual (64GB)
7505653,106.521054731,Sony Xperia M5 Dual (16GB)
6317107,102.798471557,Samsung Galaxy S6 (128GB)
10325957,99.7154123229,Lenovo Vibe P2 (4GB/32GB)
9956199,99.3940539415,Huawei Honor 8 (32GB)
10569851,97.9619013002,Asus ZenFone Go (ZB452KG) (8GB)
9685830,97.5323853632,Lenovo Vibe K5 Note (32GB)
8491027,96.9574819704,Xiaomi Mi 5 High (64GB)
6870822,94.6301579215,Huawei P8 (16GB)
9668397,94.113286087,Xiaomi Redmi Pro (64GB)
11606876,94.0412912333,LeEco Le Max (128GB)
7357394,93.8829603384,Lenovo K80 (32GB)
11037176,91.3259599243,Meizu Pro 6 (64GB)
11389730,91.3220813976,Bluboo Dual (16GB)
11201527,90.3731624213,Xiaomi Mi 5 Standard (64GB)
9970245,89.6543025293,ZTE Nubia Z11 Mini (64GB)
11103316,89.4715090532,TP-LINK Neffos X1Max (64GB)
10922407,87.3893988705,Blu Vivo 6 (64GB)
11561991,87.3204710557,Apple iPhone 6 (32GB)
11576745,87.0264965274,Alcatel Idol 4s (32GB)
9981788,85.8111414919,Huawei Honor 8 (64GB)
5558359,85.0828074866,Apple iPhone 6 Plus (64GB)
10976663,84.8830458682,Archos 55 Diamond Selfie (64GB)
11893169,83.4580386909,Xiaomi Redmi Note 4X (MediaTek) (64GB)
11230852,81.2327995583,Lenovo K5 Note Fingerprint (32GB)
8384618,80.6698778653,Sony Xperia M5 (16GB)
10597333,78.5222759062,Samsung Galaxy Grand Prime Plus (8GB)
9815038,76.753145623,Huawei Nova Plus (32GB)
4763156,76.1061841317,Apple iPhone 5C (8GB)
10443299,75.1632864081,HTC 10 evo
10021736,74.8780588603,ZTE Axon 7 Mini (32GB)
10864321,74.0955494266,Doogee Shoot 1 (16GB)
8212493,73.6187817362,Huawei Mate 8 (32GB)
10286370,72.2757420242,Meizu M5 (32GB)
6757029,71.9382735363,Samsung Galaxy S6 Duos (32GB)
10025380,71.7870028872,Blackberry DTEK50 (16GB)
10325561,71.5496234048,Lenovo Moto M
11515613,71.0635613004,Umi Plus E (64GB)
10566892,70.6398603006,Meizu M5 Note (16GB)
11891035,70.6122281221,MLS Energy 4G (16GB)
6317061,70.4932503432,Samsung Galaxy S6 (64GB)
8874195,70.3202872243,HTC One X9 (32GB)
10566957,70.2941730812,Meizu M5 Note (32GB)
11959234,70.2806821925,BlackView BV7000 Pro (64GB)
10603203,67.9080942078,Lenovo Vibe K6 Note (32GB)
11169230,67.8683957932,Sony Xperia XA1 (32GB)
11890963,67.033344186,MLS Fresh (16GB)
9042908,66.9841435782,Huawei P9 Dual (32GB)
11140286,66.9826648015,Samsung Galaxy S8 (64GB)
11504255,66.0185009425,Apple iPhone SE (32GB)
10567019,64.550109807,Meizu M5 Note (64GB)
11599517,63.982071659,Oukitel U20 Plus (16GB)
9758358,63.9744907874,Vodafone Smart Platinum 7 (32GB)
11999487,63.9233901356,BlackView A9 Pro (16GB)
10844371,63.8060258457,Huawei Nova (32GB)
6611044,62.6305058422,Asus ZenFone 2 (Z3580/4GB/32GB/Dual) (ZE551ML)
10240625,62.563345039,Umi Plus (32GB)
10644470,62.2552493029,LeEco Cool1 4GB Dual (32GB)
7282995,61.682048492,Motorola Moto G (3rd Gen) (8GB)
8791213,61.3053266272,Huawei P9 (32GB)
10372691,61.2884178559,Huawei Y6 Pro (16GB)
10446239,60.3343956737,HTC Desire 825 (16GB)
10549703,59.7620590418,HTC One A9s (32GB)
10766459,59.5100144266,Lenovo K10 (16GB)
11328452,59.5068032536,Leagoo T1 Plus (16GB)
10631308,59.4299786195,Samsung Galaxy J2 Prime (8GB)
9901343,58.6891921325,HTC Desire 10 Lifestyle (32GB)
6592480,58.6527426974,LG G4 (32GB)
10455301,58.5127642342,LeTV Le Max (64GB)
8648639,57.7859713467,HTC Desire 820G+ Dual (16GB)
10002261,56.4696184262,Motorola Moto G4 Play Dual (16GB)
10576161,56.1445366241,HTC Desire 628 Dual (16GB)
10454221,55.9638070623,HTC Desire 650
9815037,55.9544524941,Huawei Nova Dual (32GB)
9268867,55.7229023333,Meizu M3 Note (32GB)
8145112,55.5997414841,Samsung Galaxy J7 Dual 3G (16GB)
3783654,55.5131437364,Apple iPhone 5S (16GB)
10864430,55.0330885071,Alcatel 10.54
10864021,54.4037376057,Xiaomi Redmi Note 4 (Snapdragon) (4GB/64GB)
8455471,54.2530812324,Asus ZenFone Zoom (64GB)
9374090,54.2319871824,ZUK Z2 (64GB)
10328199,54.2108015769,Meizu M3E (32GB)
9608073,54.1410058687,Alcatel OneTouch Pixi 4 (6) 4G (8GB)
