"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200","201","202","203","204","205","206","207","208","209","sequence_length","seq_start"
"10084353","119.7","119.9","119.9","119.69","119.68","119.68","119.88","119.88","119.88","119.0","119.0","118.88","118.87","118.86","118.87","118.87","118.87","118.87","118.86","118.85","118.85","118.85","118.8","118.0","118.0","117.95","117.9","115.99","114.89","114.8","112.88","112.85","112.0","111.8","111.7","111.6","97.76","97.76","97.76","97.76","111.0","111.0","111.0","110.9","110.88","110.86","110.87","110.86","110.8","110.69","110.68","110.6","110.58","110.57","110.55","110.48","110.45","110.38","110.38","110.38","110.0","109.99","109.0","108.95","108.95","108.93","108.54","108.53","107.99","105.0","104.0","104.0","106.0","105.5","105.49","105.39","103.95","103.49","103.06","102.68","102.26","101.82","101.25","95.95","95.43","94.85","94.39","93.77","93.36","92.88","92.34","91.92","91.5","91.5","91.5","103.0","103.0","103.0","103.0","103.0","102.99","102.99","102.99","102.49","98.99","98.49","95.0","95.0","95.0","95.0","95.0","94.98","94.0","93.9","93.9","93.9","93.9","93.9","93.89","93.38","92.9","92.5","92.0","92.0","91.9","91.86","91.85","91.85","91.85","91.81","91.67","91.26","90.88","90.4","90.4","91.99","91.9","91.67","91.46","91.3","91.18","91.15","91.15","91.15","91.12","91.12","91.1","91.0","90.97","90.97","90.97","90.97","90.76","90.76","90.71","90.66","90.38","90.26","89.98","89.8","89.55","89.35","89.02","88.66","88.5","88.01","87.99","87.95","87.95","87.93","87.9","87.71","87.7","87.64","87.54","87.37","87.25","86.94","86.94","86.75","86.73","86.73","86.74","86.74","86.74","86.74","92.99","92.99","99.99","99.99","99.99","99.99","99.99","99.99","99.99","99.99","99.99","99.99","99.49","99.49","99.49","99.49","99.32","98.88","98.34","97.3","97.3","97.3","97.3","90.85","210","0"
"7653378","169.0","168.0","168.0","167.1","167.1","168.0","168.0","168.0","168.0","168.0","168.0","168.0","168.0","159.0","159.0","159.0","159.0","159.0","159.0","159.0","159.0","159.0","159.0","159.0","162.0","165.88","165.88","165.88","165.83","165.83","165.0","165.0","165.0","165.83","165.85","165.9","165.9","165.9","165.9","165.9","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","164.9","164.9","164.9","165.0","164.9","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","164.0","164.0","164.0","168.0","168.0","166.7","166.7","166.7","166.7","166.7","166.7","166.7","166.7","166.7","166.7","166.7","166.7","166.7","166.7","166.7","166.7","166.7","166.7","166.7","166.7","166.7","166.7","155.0","155.0","155.0","166.7","166.7","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","166.7","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","149.0","149.0","149.0","165.0","149.0","149.0","149.0","149.0","149.0","149.0","149.0","149.0","149.0","149.0","149.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","164.99","164.99","164.99","164.99","164.99","164.99","163.99","163.99","163.99","163.99","163.99","163.99","163.99","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","210","0"
"8742945","179.9","178.0","178.0","177.9","177.9","177.9","177.9","176.9","177.9","177.9","179.9","179.8","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","178.0","177.9","177.9","177.0","177.0","177.0","177.0","177.0","177.0","177.0","177.0","177.0","177.0","177.0","177.0","178.0","177.0","177.0","177.0","178.0","178.0","177.0","177.0","177.0","177.0","173.0","173.0","173.0","173.0","173.0","172.99","172.0","172.0","172.0","172.0","170.0","169.0","169.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","168.99","168.99","168.99","168.99","168.99","168.99","168.99","168.99","168.99","168.99","168.9","168.9","168.89","168.89","168.89","168.89","168.89","168.89","168.89","168.89","168.89","168.89","168.89","168.89","168.89","168.89","168.89","168.89","149.99","149.99","149.99","150.0","149.99","149.9","149.0","148.95","148.95","148.95","148.9","148.85","148.85","148.85","148.85","148.85","148.85","148.85","148.85","148.85","148.8","148.8","148.8","148.8","144.0","143.95","143.95","143.95","139.99","139.99","139.99","143.95","143.95","143.95","143.51","139.9","139.9","139.9","139.9","134.9","139.9","139.9","139.9","139.9","139.9","129.0","139.9","129.9","139.8","139.8","139.8","139.8","139.8","139.8","139.8","139.8","139.8","139.8","139.8","139.8","139.8","139.75","139.75","139.0","139.0","139.0","136.0","139.0","139.0","139.0","139.0","139.0","139.0","138.9","137.97","136.9","136.9","136.0","136.0","136.0","135.8","135.8","135.8","135.8","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","135.8","135.8","138.9","138.69","138.69","138.69","138.69","138.9","210","0"
"5558359","579.88","576.9","575.9","574.75","574.0","572.45","571.5","570.75","568.9","567.11","566.8","566.58","565.4","564.9","563.85","562.3","560.0","558.39","557.66","556.13","554.77","552.95","551.5","550.26","548.33","546.18","544.57","542.66","540.31","537.5","536.76","535.17","533.4","531.74","530.81","529.07","527.32","524.21","523.04","522.7","523.4","523.49","526.21","525.71","525.3","524.85","524.45","523.53","521.95","520.96","519.81","518.18","517.35","516.9","515.8","515.45","515.0","514.65","513.9","513.31","512.3","511.01","510.0","509.06","508.45","507.51","506.31","504.92","503.76","502.6","502.85","502.65","501.6","500.7","499.9","498.75","497.25","495.95","495.2","494.74","494.18","493.73","493.21","492.64","491.89","491.25","490.54","490.08","489.62","495.94","495.53","495.1","494.75","494.75","494.75","496.0","500.25","499.55","499.2","498.75","498.35","497.9","497.55","497.1","496.7","496.35","495.95","495.95","496.0","496.0","496.0","496.0","496.0","496.0","496.0","496.0","495.5","495.4","494.8","494.15","494.9","499.0","499.0","499.0","499.0","498.5","498.35","497.15","496.4","496.5","497.0","496.7","495.9","494.9","493.84","491.36","490.77","490.28","488.8","487.95","487.54","486.77","486.5","486.49","485.99","491.4","490.6","488.75","486.95","486.35","485.85","485.45","485.0","484.45","483.5","482.0","480.1","479.48","479.06","478.4","477.5","478.0","478.0","477.5","477.4","477.5","478.0","479.0","479.0","490.85","477.4","476.25","475.75","473.95","472.0","472.0","471.0","469.8","471.0","470.85","470.8","471.9","472.08","480.05","479.9","479.88","480.0","488.95","486.5","483.9","480.91","480.5","480.1","480.28","480.0","479.5","479.0","478.35","475.6","473.92","471.83","475.5","473.24","471.67","471.15","469.65","469.65","469.65","469.65","465.84","210","0"
"7321695","168.44","167.9","167.44","167.07","166.61","166.21","168.5","168.5","168.4","167.9","168.4","168.35","171.12","172.0","172.0","172.0","172.0","172.0","189.0","189.0","189.0","188.9","178.0","178.0","178.0","176.0","141.48","175.0","175.0","174.9","174.9","174.9","174.9","175.0","174.99","175.0","174.99","174.99","174.99","174.99","174.99","155.0","174.99","174.0","174.0","169.0","130.0","172.99","169.0","172.99","173.0","173.0","173.0","173.0","173.0","173.0","173.0","173.0","173.0","173.0","168.5","173.0","172.85","172.48","169.6","168.85","168.45","168.05","166.7","166.2","165.85","165.4","165.05","164.6","164.2","163.8","163.4","162.9","162.7","162.7","162.7","166.0","165.95","155.4","166.0","169.0","169.0","169.0","169.0","169.0","169.0","169.0","169.0","135.68","135.68","135.68","135.68","169.0","168.85","169.0","169.0","168.85","173.0","169.0","168.94","168.94","168.94","168.94","157.0","157.0","150.0","155.53","155.53","151.0","151.0","151.0","151.0","155.53","155.53","155.53","168.9","168.9","168.9","168.9","168.8","168.75","168.65","168.35","168.35","168.35","168.2","168.15","167.7","167.4","167.0","166.35","166.25","166.2","166.0","166.0","165.2","164.85","164.8","164.4","164.0","165.85","165.3","165.85","165.85","165.85","165.85","165.85","165.8","165.85","166.0","165.95","165.85","165.8","165.65","164.8","165.0","165.85","165.65","165.55","165.55","165.7","165.5","164.5","164.85","152.07","164.8","164.6","164.45","164.45","163.85","163.8","163.75","163.55","163.55","163.15","162.75","162.75","162.75","162.75","162.75","162.75","149.0","149.0","149.0","149.0","149.0","149.0","149.0","162.45","161.95","161.45","161.05","161.65","161.25","161.25","161.0","161.65","160.85","160.84","160.84","160.84","160.84","160.84","160.84","160.45","210","0"
"7335955","21.89","21.9","21.9","21.9","21.9","20.99","21.9","21.9","21.85","21.85","21.85","21.85","21.85","21.85","21.85","21.85","21.85","21.85","21.85","21.0","21.85","21.85","21.85","21.85","21.85","21.85","21.85","21.85","21.85","21.85","21.8","21.55","21.1","21.8","21.79","21.79","21.79","21.79","21.79","21.79","21.79","21.79","21.79","21.79","21.79","21.79","21.79","21.8","21.8","21.8","21.8","21.8","22.9","21.9","21.85","21.5","21.5","21.45","21.45","21.45","21.45","21.44","21.44","21.44","21.43","21.42","21.42","21.42","21.42","21.42","21.42","21.42","21.42","21.42","21.37","21.36","21.36","21.36","21.42","21.42","21.42","21.37","21.36","21.36","21.43","21.43","21.42","21.42","21.42","21.42","21.42","21.43","21.42","20.2","20.2","20.2","21.42","21.42","21.42","21.44","21.44","21.44","21.44","21.44","21.44","21.44","21.44","21.44","21.44","21.44","21.44","21.44","21.44","21.44","21.44","21.44","21.01","21.01","21.01","21.44","21.44","21.44","21.44","21.44","21.44","20.03","21.44","21.44","21.44","21.44","21.55","21.55","21.55","21.55","21.55","21.55","21.55","21.55","21.55","21.7","21.55","21.55","21.4","21.6","21.7","21.6","21.7","21.7","21.39","21.39","21.39","21.44","21.7","21.39","21.79","21.79","21.79","21.79","21.79","21.39","21.79","21.44","21.44","21.39","21.39","21.39","21.39","21.44","21.4","21.4","21.4","21.4","21.4","21.37","21.37","21.4","21.4","21.4","21.4","21.4","21.4","21.6","21.79","21.79","21.79","21.79","22.0","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","21.9","21.44","21.9","21.9","21.9","21.9","21.9","21.9","21.89","210","0"
"9724038","137.0","138.95","136.99","136.8","136.5","136.0","135.2","134.93","133.84","133.1","132.5","132.4","132.0","132.1","132.3","132.2","132.2","132.2","132.16","132.0","131.95","131.45","131.0","131.0","130.04","130.16","130.16","132.5","132.3","132.3","132.44","132.44","132.5","131.8","131.2","130.75","131.8","131.8","132.44","132.44","132.44","139.0","132.5","132.5","132.5","132.5","132.5","132.5","131.9","131.7","131.0","131.0","131.0","130.95","132.38","132.38","132.38","132.38","132.38","132.38","132.38","132.38","132.5","132.5","132.38","132.38","132.38","132.38","132.38","132.38","132.38","132.5","132.5","132.5","132.38","132.38","132.38","132.38","132.5","132.5","132.5","132.43","132.43","132.43","132.43","132.5","132.5","132.43","132.43","132.43","132.43","132.43","132.43","132.43","132.43","132.43","132.43","132.43","132.43","132.5","132.5","132.5","132.43","132.43","132.43","132.43","132.43","132.43","132.43","138.84","139.0","138.98","138.91","138.8","138.6","138.51","138.45","138.38","138.45","138.3","138.2","137.89","137.89","138.7","138.7","138.78","138.65","138.46","138.46","138.46","137.38","137.4","137.15","137.15","136.94","136.94","136.94","136.94","136.94","136.94","136.94","137.0","137.0","136.94","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","136.98","136.95","136.95","136.95","136.95","136.95","136.98","136.98","136.95","137.11","137.11","137.11","136.98","136.9","136.71","136.71","136.71","136.71","136.71","136.8","136.71","135.0","135.0","134.88","134.88","134.8","134.72","134.72","134.72","134.72","134.72","134.72","134.8","134.8","134.74","134.74","134.74","134.74","135.0","135.0","134.74","134.74","134.74","134.74","134.74","134.74","134.74","134.74","134.7","134.7","134.7","128.9","128.9","128.9","128.9","134.49","210","0"
"7423345","501.54","501.2","501.18","500.8","500.79","499.0","498.0","498.94","497.0","497.84","497.49","497.84","497.5","501.9","502.7","502.39","500.89","499.94","498.74","498.0","497.8","503.9","502.9","502.9","503.9","503.98","497.0","500.0","500.0","499.88","499.3","498.06","496.7","491.0","496.3","496.95","509.8","509.8","509.8","509.8","509.79","509.77","509.73","508.95","507.85","506.78","506.34","505.57","504.0","501.42","499.41","498.38","497.64","496.84","495.99","495.48","494.98","495.0","495.0","500.0","500.9","496.98","504.9","508.68","507.75","506.78","504.75","503.94","503.14","503.2","509.99","509.94","509.89","509.89","510.0","517.8","517.8","535.0","510.0","529.85","528.3","525.0","524.5","523.0","522.7","520.95","517.85","515.75","513.45","511.45","511.0","508.75","507.15","506.7","506.55","506.45","505.85","503.95","501.95","501.5","503.0","501.5","501.35","500.8","502.9","502.84","501.94","501.18","500.39","498.77","498.35","497.74","497.22","496.62","495.96","494.9","493.9","492.95","492.3","491.89","496.94","497.0","497.0","496.9","497.0","496.8","504.4","504.3","503.85","503.0","503.85","503.0","503.35","502.85","502.6","501.84","501.1","500.7","499.65","498.8","498.6","497.8","498.0","498.0","498.0","497.9","497.4","497.1","496.9","500.0","500.0","500.0","503.1","507.5","509.99","509.99","509.99","508.16","507.89","507.33","506.68","509.99","504.19","503.07","501.28","510.0","499.92","510.0","489.0","488.99","489.0","495.9","489.0","489.0","515.0","519.9","523.0","523.0","523.0","523.0","524.99","499.0","538.0","485.0","538.0","538.0","538.0","539.9","539.9","539.9","533.2","533.2","533.2","533.2","533.2","531.5","494.85","494.6","494.5","494.2","494.2","494.5","494.5","494.5","494.5","494.5","494.5","494.5","494.5","494.45","210","0"
"9633962","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.99","29.99","29.99","29.0","29.0","29.9","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.98","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.98","29.98","29.98","29.99","29.99","29.0","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","28.13","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.98","29.98","29.98","29.98","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","29.99","210","0"
"9969844","189.0","182.9","191.9","189.0","198.99","189.0","198.99","198.99","198.99","198.99","198.99","198.99","198.99","198.99","198.99","198.99","198.99","198.99","198.99","198.99","198.99","198.5","198.5","198.5","198.5","198.99","198.4","198.4","197.0","198.4","198.0","198.0","198.0","198.4","198.0","198.0","198.0","198.0","198.0","198.0","198.0","198.0","197.99","197.98","197.98","197.97","197.98","197.71","197.27","196.81","196.4","195.94","195.49","195.0","194.65","194.25","193.85","193.45","193.45","193.2","193.2","193.15","193.1","192.75","191.9","191.35","191.0","190.6","190.15","189.8","188.8","188.32","186.93","177.9","170.0","164.85","164.8","164.8","150.0","164.5","164.08","163.64","163.23","162.95","186.38","185.95","185.54","185.09","184.64","184.23","183.83","183.19","182.69","183.08","183.0","182.99","182.8","182.79","182.79","182.8","182.77","182.77","182.7","182.68","182.68","182.65","182.63","182.61","182.61","182.58","182.56","182.54","182.54","182.48","182.39","181.97","181.51","181.06","180.68","179.18","178.08","178.05","177.99","177.99","186.5","186.45","186.38","186.0","185.58","185.12","184.71","184.29","183.87","183.4","183.02","182.56","182.16","181.72","181.33","180.87","180.48","180.06","179.59","179.14","178.7","178.27","177.84","177.41","176.97","176.49","176.1","175.7","175.24","174.86","176.98","176.96","176.94","176.94","176.91","176.8","176.7","176.59","176.5","176.4","176.4","176.4","176.37","176.29","176.27","176.2","175.93","175.93","175.9","175.75","175.65","175.53","175.43","175.29","175.29","175.21","175.08","174.95","174.92","174.48","174.4","173.74","172.96","172.95","172.41","171.6","170.56","170.0","169.33","169.24","169.24","169.24","169.24","169.24","169.24","169.24","169.24","168.57","168.09","167.02","166.07","164.0","164.0","164.0","164.0","157.77","210","0"
